ISIN,Date,start_price,end_price,minimum_price,maximum_price,daily_traded_volume,end_price_mx,standard_deviation
LU1589349734,2022-12-30,71.5,71.64,71.5,71.5,87,1366.8911999999998,0.09899494936611705
LU1589349734,2022-12-31,71.5,71.64,71.5,71.5,87,1366.8911999999998,0.09899494936611705
LU1598688189,2022-12-30,157.66,160.34,157.66,157.72,151,3059.2871999999998,1.8950461735799522
LU1598688189,2022-12-31,157.66,160.34,157.66,157.72,151,3059.2871999999998,1.8950461735799522
LU1598689153,2022-12-30,348.15,352.2,347.85,348.15,218,6719.975999999999,2.8637824638055256
LU1598689153,2022-12-31,348.15,352.2,347.85,348.15,218,6719.975999999999,2.8637824638055256
LU1598690169,2022-12-30,112.84,113.32,112.04,112.96,1249,2162.1456,0.33941125496953556
LU1598690169,2022-12-31,112.84,113.32,112.04,112.96,1249,2162.1456,0.33941125496953556
LU1598757687,2022-12-30,27.12,27.745,26.87,27.84,104220,529.3746,0.4419417382415922
LU1598757687,2022-12-31,27.12,27.745,26.87,27.84,104220,529.3746,0.4419417382415922
LU1602144229,2022-12-30,362.2,366.9,361.0,362.7,308,7000.451999999999,3.3234018715767655
LU1602144229,2022-12-31,362.2,366.9,361.0,362.7,308,7000.451999999999,3.3234018715767655
LU1602144575,2022-12-30,239.35,241.05,237.25,239.35,125,4599.2339999999995,1.2020815280171429
LU1602144575,2022-12-31,239.35,241.05,237.25,239.35,125,4599.2339999999995,1.2020815280171429
LU1602144732,2022-12-30,228.38,228.29,225.95,228.38,171,4355.7732,0.06363961030679169
LU1602144732,2022-12-31,228.38,228.29,225.95,228.38,171,4355.7732,0.06363961030679169
LU1602144906,2022-12-30,598.4,606.2,598.4,599.8,7,11566.296,5.515432893255119
LU1602144906,2022-12-31,598.4,606.2,598.4,599.8,7,11566.296,5.515432893255119
LU1602145119,2022-12-30,517.3,523.0,516.4,519.4,5,9978.839999999998,4.030508652763353
LU1602145119,2022-12-31,517.3,523.0,516.4,519.4,5,9978.839999999998,4.030508652763353
LU1615090864,2022-12-30,108.56,109.98,108.56,108.56,0,2098.4184,1.0040916292848987
LU1615090864,2022-12-31,108.56,109.98,108.56,108.56,0,2098.4184,1.0040916292848987
LU1615092217,2022-12-30,17.166,17.302,17.068,17.176,24487,330.12215999999995,0.09616652224136991
LU1615092217,2022-12-31,17.166,17.302,17.068,17.176,24487,330.12215999999995,0.09616652224136991
LU1645380368,2022-12-30,15.722,15.772,15.722,15.784,82235,300.92976,0.03535533905932788
LU1645380368,2022-12-31,15.722,15.772,15.722,15.784,82235,300.92976,0.03535533905932788
